,Region,SubRegion,Province,Total_N_Hospital,Total_N_ICU_BED,HealthMinistry_N_Hospital,HealthMinistry_N_ICU_BED,OtherMinistries_N_Hospital,OtherMinistries_N_ICU_BED,StateEnterprise_N_Hospital,StateEnterprise_N_ICU_BED,IndependentOrganization_N_Hospital,IndependentOrganization_N_ICU_BED,LocalAdministrativeOrganization_N_Hospital,LocalAdministrativeOrganization_N_ICU_BED,PrivateCompany_N_Hospital,PrivateCompany_N_ICU_BED
3,กรุงเทพฯ,กรุงเทพฯ,กรุงเทพมหานคร ,64,1502,8,168,7,490,2,7,0,0,7,148,40,689
6,ภาคกลาง,เขต 1,นนทบุรี ,8,112,3,59,1,16,0,0,0,0,0,0,4,37
7,ภาคกลาง,เขต 1,ปทุมธานี ,10,135,3,54,1,29,0,0,0,0,0,0,6,52
8,ภาคกลาง,เขต 1,พระนครศรีอยุธยา ,6,273,2,58,0,0,0,0,0,0,0,0,4,215
9,ภาคกลาง,เขต 1,สระบุรี ,6,589,2,60,0,0,0,0,0,0,0,0,4,529
11,ภาคกลาง,เขต 2,อ่างทอง ,2,40,1,30,0,0,0,0,0,0,0,0,1,10
12,ภาคกลาง,เขต 2,ลพบุรี ,8,82,5,47,1,15,0,0,0,0,0,0,2,20
13,ภาคกลาง,เขต 2,สิงห์บุรี ,3,26,2,18,0,0,0,0,0,0,0,0,1,8
14,ภาคกลาง,เขต 2,ชัยนาท ,2,17,1,13,0,0,0,0,0,0,0,0,1,4
16,ภาคกลาง,เขต 3,สมุทรปราการ ,19,162,4,41,0,0,0,0,0,0,0,0,15,121
17,ภาคกลาง,เขต 3,ฉะเชิงเทรา ,3,43,1,28,0,0,0,0,0,0,0,0,2,15
18,ภาคกลาง,เขต 3,ปราจีนบุรี ,3,50,2,44,1,6,0,0,0,0,0,0,0,0
19,ภาคกลาง,เขต 3,นครนายก ,2,420,1,12,1,408,0,0,0,0,0,0,0,0
20,ภาคกลาง,เขต 3,สระแก้ว ,1,16,1,16,0,0,0,0,0,0,0,0,0,0
22,ภาคกลาง,เขต 4,ราชบุรี ,7,95,4,80,0,0,0,0,0,0,0,0,3,15
23,ภาคกลาง,เขต 4,กาญจนบุรี ,5,58,2,42,1,4,0,0,0,0,0,0,2,12
24,ภาคกลาง,เขต 4,สุพรรณบุรี ,7,86,3,62,0,0,0,0,0,0,0,0,4,24
25,ภาคกลาง,เขต 4,นครปฐม ,6,73,2,40,1,13,0,0,0,0,0,0,3,20
27,ภาคกลาง,เขต 5,สมุทรสาคร ,9,112,2,42,0,0,0,0,1,20,0,0,6,50
28,ภาคกลาง,เขต 5,สมุทรสงคราม ,3,26,2,21,0,0,0,0,0,0,0,0,1,5
29,ภาคกลาง,เขต 5,เพชรบุรี ,3,42,1,28,0,0,0,0,0,0,0,0,2,14
30,ภาคกลาง,เขต 5,ประจวบคีรีขันธ์ ,5,61,3,52,1,4,0,0,0,0,0,0,1,5
32,ภาคกลาง,เขต 9,ชลบุรี ,12,161,1,36,1,21,0,0,1,10,0,0,9,94
33,ภาคกลาง,เขต 9,ระยอง ,5,47,2,27,0,0,0,0,0,0,0,0,3,20
34,ภาคกลาง,เขต 9,จันทบุรี ,3,63,1,38,0,0,0,0,0,0,0,0,2,25
35,ภาคกลาง,เขต 9,ตราด ,2,16,1,8,0,0,0,0,0,0,0,0,1,8
38,ภาคตะวันออกเฉียงเหนือ,เขต 10,หนองบัวลำภู ,1,8,1,8,0,0,0,0,0,0,0,0,0,0
39,ภาคตะวันออกเฉียงเหนือ,เขต 10,อุดรธานี ,7,110,3,88,1,5,0,0,0,0,0,0,3,17
40,ภาคตะวันออกเฉียงเหนือ,เขต 10,เลย ,2,53,1,32,0,0,0,0,0,0,0,0,1,21
41,ภาคตะวันออกเฉียงเหนือ,เขต 10,หนองคาย ,4,40,2,30,0,0,0,0,0,0,0,0,2,10
43,ภาคตะวันออกเฉียงเหนือ,เขต 11,สกลนคร ,6,74,4,70,1,2,0,0,0,0,0,0,1,2
44,ภาคตะวันออกเฉียงเหนือ,เขต 11,นครพนม ,2,19,2,19,0,0,0,0,0,0,0,0,0,0
45,ภาคตะวันออกเฉียงเหนือ,เขต 11,มุกดาหาร ,1,13,1,13,0,0,0,0,0,0,0,0,0,0
47,ภาคตะวันออกเฉียงเหนือ,เขต 12,ขอนแก่น ,8,204,3,116,2,69,0,0,0,0,0,0,3,19
48,ภาคตะวันออกเฉียงเหนือ,เขต 12,มหาสารคาม ,2,8,1,4,0,0,0,0,0,0,0,0,1,4
49,ภาคตะวันออกเฉียงเหนือ,เขต 12,ร้อยเอ็ด ,2,21,0,0,0,0,0,0,0,0,0,0,2,21
50,ภาคตะวันออกเฉียงเหนือ,เขต 12,กาฬสินธุ์ ,3,33,2,28,0,0,0,0,0,0,0,0,1,5
52,ภาคตะวันออกเฉียงเหนือ,เขต 13,ศรีสะเกษ ,4,29,3,28,0,0,0,0,0,0,0,0,1,1
53,ภาคตะวันออกเฉียงเหนือ,เขต 13,อุบลราชธานี ,4,188,1,165,1,6,0,0,0,0,0,0,2,17
54,ภาคตะวันออกเฉียงเหนือ,เขต 13,ยโสธร ,3,38,1,34,0,0,0,0,0,0,0,0,2,4
55,ภาคตะวันออกเฉียงเหนือ,เขต 13,อำนาจเจริญ ,1,3,1,3,0,0,0,0,0,0,0,0,0,0
57,ภาคตะวันออกเฉียงเหนือ,เขต 14,นครราชสีมา ,8,136,3,92,1,8,0,0,0,0,0,0,4,36
58,ภาคตะวันออกเฉียงเหนือ,เขต 14,บุรีรัมย์ ,5,66,4,58,0,0,0,0,0,0,0,0,1,8
59,ภาคตะวันออกเฉียงเหนือ,เขต 14,สุรินทร์ ,3,42,1,16,0,0,0,0,0,0,0,0,2,26
60,ภาคตะวันออกเฉียงเหนือ,เขต 14,ชัยภูมิ ,2,25,1,13,0,0,0,0,0,0,0,0,1,12
63,ภาคเหนือ,เขต 15,เชียงใหม่ ,18,281,7,117,2,84,0,0,0,0,0,0,9,80
64,ภาคเหนือ,เขต 15,ลำพูน ,2,20,1,16,0,0,0,0,0,0,0,0,1,4
65,ภาคเหนือ,เขต 15,ลำปาง ,5,82,2,66,1,4,0,0,0,0,0,0,2,12
66,ภาคเหนือ,เขต 15,แม่ฮ่องสอน ,2,12,2,12,0,0,0,0,0,0,0,0,0,0
